,EURAUD
27 01 2015,1.423651
28 01 2015,1.431338
29 01 2015,1.422387
30 01 2015,1.458032
31 01 2015,1.45516
01 02 2015,1.449872
02 02 2015,1.449872
03 02 2015,1.450074
04 02 2015,1.482235
05 02 2015,1.470749
06 02 2015,1.46568
07 02 2015,1.45323
08 02 2015,1.451183
09 02 2015,1.451183
10 02 2015,1.447898
11 02 2015,1.455163
12 02 2015,1.466845
13 02 2015,1.469353
14 02 2015,1.468347
15 02 2015,1.465299
16 02 2015,1.464982
17 02 2015,1.465263
18 02 2015,1.45782
19 02 2015,1.458339
20 02 2015,1.458625
21 02 2015,1.451751
22 02 2015,1.450409
23 02 2015,1.450409
24 02 2015,1.452042
25 02 2015,1.450644
26 02 2015,1.439452
27 02 2015,1.433899
28 02 2015,1.43363
01 03 2015,1.432394
02 03 2015,1.432394
03 03 2015,1.43937
04 03 2015,1.42902
05 03 2015,1.415832
06 03 2015,1.417695
07 03 2015,1.406394
08 03 2015,1.405197
09 03 2015,1.405197
10 03 2015,1.406868
11 03 2015,1.406754
12 03 2015,1.394274
13 03 2015,1.378769
14 03 2015,1.377751
15 03 2015,1.37397
16 03 2015,1.37397
17 03 2015,1.383566
18 03 2015,1.391651
19 03 2015,1.390246
20 03 2015,1.394531
21 03 2015,1.392891
22 03 2015,1.39185
23 03 2015,1.39185
24 03 2015,1.388077
25 03 2015,1.387686
26 03 2015,1.399133
27 03 2015,1.393555
28 03 2015,1.405257
29 03 2015,1.404808
30 03 2015,1.404808
31 03 2015,1.41544
01 04 2015,1.408568
02 04 2015,1.415305
03 04 2015,1.43684
04 04 2015,1.436622
05 04 2015,1.438252
06 04 2015,1.438252
07 04 2015,1.440395
08 04 2015,1.417581
09 04 2015,1.40394
10 04 2015,1.38532
11 04 2015,1.379337
12 04 2015,1.380085
13 04 2015,1.380869
14 04 2015,1.394501
15 04 2015,1.397844
16 04 2015,1.389578
17 04 2015,1.381113
18 04 2015,1.388877
19 04 2015,1.38835
20 04 2015,1.38835
21 04 2015,1.392448
22 04 2015,1.392537
23 04 2015,1.380965
24 04 2015,1.391929
25 04 2015,1.387585
26 04 2015,1.390111
27 04 2015,1.390111
28 04 2015,1.384924
29 04 2015,1.369961
30 04 2015,1.384435
01 05 2015,1.41774
02 05 2015,1.42968
03 05 2015,1.4261
04 05 2015,1.4261
05 05 2015,1.421012
06 05 2015,1.408432
07 05 2015,1.422149
08 05 2015,1.425438
09 05 2015,1.416111
10 05 2015,1.411138
11 05 2015,1.411138
12 05 2015,1.411002
13 05 2015,1.405412
14 05 2015,1.401204
15 05 2015,1.408501
16 05 2015,1.422554
17 05 2015,1.425096
18 05 2015,1.425096
19 05 2015,1.419077
20 05 2015,1.407101
21 05 2015,1.409835
22 05 2015,1.411
23 05 2015,1.408636
24 05 2015,1.407493
25 05 2015,1.407493
26 05 2015,1.402166
27 05 2015,1.404441
28 05 2015,1.411427
29 05 2015,1.43033
30 05 2015,1.434733
31 05 2015,1.437867
01 06 2015,1.438471
02 06 2015,1.436908
03 06 2015,1.435969
04 06 2015,1.446064
05 06 2015,1.465099
06 06 2015,1.459038
07 06 2015,1.457547
08 06 2015,1.457547
09 06 2015,1.467469
10 06 2015,1.469838
11 06 2015,1.45768
12 06 2015,1.453054
13 06 2015,1.455933
14 06 2015,1.456611
15 06 2015,1.456611
16 06 2015,1.451407
17 06 2015,1.450966
18 06 2015,1.467671
19 06 2015,1.456323
20 06 2015,1.462213
21 06 2015,1.462258
22 06 2015,1.462258
23 06 2015,1.467643
24 06 2015,1.444827
25 06 2015,1.453205
26 06 2015,1.44619
27 06 2015,1.458215
28 06 2015,1.458961
29 06 2015,1.458961
30 06 2015,1.459622
01 07 2015,1.445883
02 07 2015,1.445079
03 07 2015,1.453278
04 07 2015,1.475035
05 07 2015,1.478553
06 07 2015,1.479886
07 07 2015,1.473566
08 07 2015,1.474675
09 07 2015,1.486523
10 07 2015,1.479203
11 07 2015,1.500893
12 07 2015,1.498594
13 07 2015,1.498817
14 07 2015,1.487501
15 07 2015,1.477904
16 07 2015,1.485029
17 07 2015,1.468567
18 07 2015,1.470344
19 07 2015,1.468596
20 07 2015,1.468596
21 07 2015,1.469762
22 07 2015,1.472715
23 07 2015,1.479096
24 07 2015,1.493903
25 07 2015,1.509372
26 07 2015,1.50876
27 07 2015,1.505962
28 07 2015,1.523962
29 07 2015,1.507051
30 07 2015,1.508587
31 07 2015,1.498116
01 08 2015,1.504267
02 08 2015,1.503427
03 08 2015,1.503427
04 08 2015,1.507429
05 08 2015,1.476801
06 08 2015,1.481677
07 08 2015,1.486501
08 08 2015,1.479939
09 08 2015,1.478512
10 08 2015,1.480706
11 08 2015,1.487259
12 08 2015,1.513301
13 08 2015,1.514569
14 08 2015,1.514105
15 08 2015,1.506167
16 08 2015,1.506828
17 08 2015,1.506828
18 08 2015,1.500017
19 08 2015,1.50359
20 08 2015,1.511327
21 08 2015,1.523213
22 08 2015,1.549356
23 08 2015,1.555938
24 08 2015,1.555938
25 08 2015,1.603615
26 08 2015,1.597132
27 08 2015,1.602236
28 08 2015,1.570885
29 08 2015,1.56559
30 08 2015,1.560484
31 08 2015,1.560484
01 09 2015,1.57726
02 09 2015,1.606395
03 09 2015,1.597671
04 09 2015,1.587376
05 09 2015,1.611895
06 09 2015,1.612975
07 09 2015,1.612975
08 09 2015,1.612183
09 09 2015,1.591321
10 09 2015,1.590231
11 09 2015,1.592539
12 09 2015,1.603361
13 09 2015,1.598857
14 09 2015,1.590469
15 09 2015,1.584711
16 09 2015,1.581647
17 09 2015,1.571952
18 09 2015,1.58023
19 09 2015,1.571617
20 09 2015,1.561463
21 09 2015,1.572425
22 09 2015,1.569973
23 09 2015,1.570071
24 09 2015,1.596767
25 09 2015,1.602046
26 09 2015,1.591826
27 09 2015,1.592997
28 09 2015,1.592997
29 09 2015,1.607948
30 09 2015,1.607166
01 10 2015,1.593317
02 10 2015,1.593618
03 10 2015,1.596896
04 10 2015,1.586444
05 10 2015,1.586444
06 10 2015,1.578122
07 10 2015,1.575425
08 10 2015,1.558296
09 10 2015,1.560231
10 10 2015,1.552702
11 10 2015,1.548401
12 10 2015,1.548401
13 10 2015,1.542927
14 10 2015,1.564082
15 10 2015,1.574074
16 10 2015,1.556195
17 10 2015,1.565752
18 10 2015,1.56264
19 10 2015,1.56264
20 10 2015,1.559128
21 10 2015,1.562614
22 10 2015,1.569582
23 10 2015,1.541352
24 10 2015,1.525536
25 10 2015,1.526514
26 10 2015,1.527231
27 10 2015,1.522275
28 10 2015,1.529821
29 10 2015,1.55015
30 10 2015,1.549542
31 10 2015,1.544006
01 11 2015,1.541996
02 11 2015,1.541996
03 11 2015,1.544331
04 11 2015,1.525762
05 11 2015,1.519901
06 11 2015,1.521132
07 11 2015,1.527388
08 11 2015,1.524323
09 11 2015,1.524323
10 11 2015,1.527205
11 11 2015,1.520688
12 11 2015,1.521162
13 11 2015,1.513934
14 11 2015,1.507787
15 11 2015,1.510176
16 11 2015,1.510176
17 11 2015,1.511077
18 11 2015,1.494847
19 11 2015,1.502372
20 11 2015,1.490844
21 11 2015,1.472841
22 11 2015,1.471171
23 11 2015,1.471171
24 11 2015,1.475584
25 11 2015,1.470786
26 11 2015,1.465299
27 11 2015,1.467229
28 11 2015,1.473204
29 11 2015,1.472197
30 11 2015,1.472197
01 12 2015,1.460136
02 12 2015,1.450018
03 12 2015,1.446856
04 12 2015,1.491312
05 12 2015,1.481272
06 12 2015,1.481334
07 12 2015,1.481334
08 12 2015,1.492449
09 12 2015,1.508525
10 12 2015,1.524437
11 12 2015,1.498479
12 12 2015,1.523103
13 12 2015,1.52948
14 12 2015,1.52948
15 12 2015,1.522623
16 12 2015,1.52214
17 12 2015,1.518154
18 12 2015,1.520869
19 12 2015,1.506602
20 12 2015,1.515142
21 12 2015,1.515142
22 12 2015,1.52459
23 12 2015,1.517509
24 12 2015,1.507127
25 12 2015,1.507453
26 12 2015,1.507998
27 12 2015,1.507418
28 12 2015,1.507418
29 12 2015,1.51265
30 12 2015,1.497183
31 12 2015,1.49874
01 01 2016,1.490914
02 01 2016,1.491166
03 01 2016,1.49089
04 01 2016,1.49089
05 01 2016,1.50709
06 01 2016,1.502559
07 01 2016,1.522285
08 01 2016,1.546295
09 01 2016,1.562739
10 01 2016,1.5714
11 01 2016,1.5714
12 01 2016,1.558795
13 01 2016,1.553524
14 01 2016,1.551253
15 01 2016,1.557654
16 01 2016,1.594026
17 01 2016,1.58727
18 01 2016,1.58727
19 01 2016,1.584202
20 01 2016,1.573578
21 01 2016,1.59026
22 01 2016,1.548586
23 01 2016,1.542742
