,EUR/GBP
27 01 2015,0.74827
28 01 2015,0.748156
29 01 2015,0.747807
30 01 2015,0.751877
31 01 2015,0.751662
01 02 2015,0.749045
02 02 2015,0.749045
03 02 2015,0.754524
04 02 2015,0.757419
05 02 2015,0.750636
06 02 2015,0.747223
07 02 2015,0.743667
08 02 2015,0.742189
09 02 2015,0.742189
10 02 2015,0.743669
11 02 2015,0.742075
12 02 2015,0.742511
13 02 2015,0.742171
14 02 2015,0.741608
15 02 2015,0.739046
16 02 2015,0.739374
17 02 2015,0.740671
18 02 2015,0.742539
19 02 2015,0.73515
20 02 2015,0.737326
21 02 2015,0.738877
22 02 2015,0.738926
23 02 2015,0.738926
24 02 2015,0.733384
25 02 2015,0.733491
26 02 2015,0.733405
27 02 2015,0.727589
28 02 2015,0.725247
01 03 2015,0.725293
02 03 2015,0.725293
03 03 2015,0.728063
04 03 2015,0.727998
05 03 2015,0.725615
06 03 2015,0.722984
07 03 2015,0.720752
08 03 2015,0.721086
09 03 2015,0.721086
10 03 2015,0.718107
11 03 2015,0.710154
12 03 2015,0.707526
13 03 2015,0.712083
14 03 2015,0.713569
15 03 2015,0.712002
16 03 2015,0.712002
17 03 2015,0.715022
18 03 2015,0.719219
19 03 2015,0.724123
20 03 2015,0.721696
21 03 2015,0.724314
22 03 2015,0.72367
23 03 2015,0.72367
24 03 2015,0.730472
25 03 2015,0.734116
26 03 2015,0.736545
27 03 2015,0.734851
28 03 2015,0.732149
29 03 2015,0.732096
30 03 2015,0.732096
31 03 2015,0.730854
01 04 2015,0.723067
02 04 2015,0.726761
03 04 2015,0.732564
04 04 2015,0.736425
05 04 2015,0.740064
06 04 2015,0.740064
07 04 2015,0.735977
08 04 2015,0.729904
09 04 2015,0.725458
10 04 2015,0.724453
11 04 2015,0.722949
12 04 2015,0.724566
13 04 2015,0.724977
14 04 2015,0.72037
15 04 2015,0.721024
16 04 2015,0.720326
17 04 2015,0.721594
18 04 2015,0.721726
19 04 2015,0.72213
20 04 2015,0.72213
21 04 2015,0.720117
22 04 2015,0.719305
23 04 2015,0.713922
24 04 2015,0.719512
25 04 2015,0.715203
