,EUR/HKD
27 01 2015,8.747305
28 01 2015,8.813246
29 01 2015,8.793044
30 01 2015,8.766743
31 01 2015,8.755771
01 02 2015,8.750134
02 02 2015,8.750134
03 02 2015,8.78601
04 02 2015,8.882983
05 02 2015,8.855076
06 02 2015,8.855781
07 02 2015,8.79502
08 02 2015,8.771249
09 02 2015,8.771249
10 02 2015,8.774498
11 02 2015,8.775842
12 02 2015,8.766221
13 02 2015,8.851561
14 02 2015,8.849233
15 02 2015,8.825996
16 02 2015,8.830656
17 02 2015,8.835329
18 02 2015,8.837902
19 02 2015,8.80502
20 02 2015,8.837332
21 02 2015,8.812761
22 02 2015,8.828636
23 02 2015,8.828636
24 02 2015,8.800476
25 02 2015,8.788968
26 02 2015,8.812689
27 02 2015,8.698683
28 02 2015,8.685036
01 03 2015,8.682802
02 03 2015,8.682802
03 03 2015,8.680367
04 03 2015,8.687124
05 03 2015,8.58595
06 03 2015,8.539394
07 03 2015,8.423992
08 03 2015,8.410364
09 03 2015,8.410364
10 03 2015,8.421645
11 03 2015,8.314258
12 03 2015,8.211896
13 03 2015,8.231124
14 03 2015,8.175008
15 03 2015,8.150722
16 03 2015,8.150722
17 03 2015,8.231879
18 03 2015,8.226401
19 03 2015,8.264108
20 03 2015,8.251916
21 03 2015,8.403594
22 03 2015,8.395247
23 03 2015,8.395247
24 03 2015,8.465933
25 03 2015,8.468812
26 03 2015,8.506438
27 03 2015,8.463374
28 03 2015,8.455281
29 03 2015,8.443658
30 03 2015,8.443658
31 03 2015,8.393329
01 04 2015,8.318839
02 04 2015,8.357601
03 04 2015,8.435356
04 04 2015,8.507729
05 04 2015,8.50792
06 04 2015,8.50792
07 04 2015,8.515744
08 04 2015,8.406084
09 04 2015,8.379584
10 04 2015,8.261594
11 04 2015,8.206295
12 04 2015,8.217303
13 04 2015,8.221967
14 04 2015,8.190943
15 04 2015,8.271751
16 04 2015,8.282853
17 04 2015,8.361799
18 04 2015,8.369083
19 04 2015,8.376907
20 04 2015,8.376907
21 04 2015,8.318603
22 04 2015,8.332842
23 04 2015,8.321663
24 04 2015,8.39823
25 04 2015,8.412302
26 04 2015,8.426939
27 04 2015,8.426939
28 04 2015,8.432441
29 04 2015,8.510971
30 04 2015,8.651839
01 05 2015,8.677313
02 05 2015,8.676084
03 05 2015,8.680109
04 05 2015,8.680109
05 05 2015,8.644545
06 05 2015,8.678778
07 05 2015,8.790771
08 05 2015,8.735341
09 05 2015,8.708153
10 05 2015,8.680697
11 05 2015,8.680697
12 05 2015,8.655626
13 05 2015,8.699252
14 05 2015,8.806222
15 05 2015,8.820519
16 05 2015,8.865966
17 05 2015,8.87365
18 05 2015,8.87365
19 05 2015,8.787886
20 05 2015,8.635501
21 05 2015,8.61166
22 05 2015,8.629964
23 05 2015,8.537483
24 05 2015,8.535497
25 05 2015,8.535497
26 05 2015,8.507828
27 05 2015,8.430397
28 05 2015,8.454616
29 05 2015,8.479969
30 05 2015,8.520199
31 05 2015,8.521576
