,EURJPY
27 01 2015,133.6156
28 01 2015,133.818177
29 01 2015,133.571485
30 01 2015,133.823962
31 01 2015,132.567442
01 02 2015,132.582748
02 02 2015,132.582748
03 02 2015,133.073447
04 02 2015,134.60514
05 02 2015,134.285923
06 02 2015,134.145722
07 02 2015,135.106926
08 02 2015,134.793775
09 02 2015,134.793775
10 02 2015,134.348695
11 02 2015,135.063706
12 02 2015,136.075454
13 02 2015,135.416405
14 02 2015,135.466546
15 02 2015,135.154667
16 02 2015,135.214683
17 02 2015,134.892074
18 02 2015,135.570564
19 02 2015,135.259401
20 02 2015,135.390259
21 02 2015,134.826113
22 02 2015,135.426504
23 02 2015,135.426504
24 02 2015,134.87679
25 02 2015,134.925873
26 02 2015,135.076347
27 02 2015,133.850054
28 02 2015,134.047321
01 03 2015,133.863601
02 03 2015,133.863601
03 03 2015,134.430775
04 03 2015,133.831314
05 03 2015,132.575049
06 03 2015,132.366477
07 03 2015,131.25224
08 03 2015,131.007693
09 03 2015,131.007693
10 03 2015,131.537749
11 03 2015,129.898781
12 03 2015,128.422769
13 03 2015,128.537172
14 03 2015,127.569111
15 03 2015,127.415377
16 03 2015,127.415377
17 03 2015,128.573056
18 03 2015,128.577681
19 03 2015,128.748039
20 03 2015,128.554248
21 03 2015,130.134983
22 03 2015,129.889734
23 03 2015,129.889734
24 03 2015,130.7221
25 03 2015,130.748998
26 03 2015,131.02808
27 03 2015,129.884835
28 03 2015,130.007508
29 03 2015,129.748714
30 03 2015,129.748714
31 03 2015,129.932964
01 04 2015,128.66976
02 04 2015,128.831151
03 04 2015,130.254526
04 04 2015,130.622884
05 04 2015,131.375206
06 04 2015,131.375206
07 04 2015,130.974598
08 04 2015,130.49669
09 04 2015,129.634325
10 04 2015,128.512669
11 04 2015,127.24229
12 04 2015,127.46387
13 04 2015,127.536217
14 04 2015,126.921805
15 04 2015,127.321071
16 04 2015,127.057989
17 04 2015,128.337438
18 04 2015,128.367874
19 04 2015,128.499106
20 04 2015,128.499106
21 04 2015,128.180634
22 04 2015,128.623268
23 04 2015,128.693932
24 04 2015,129.560478
25 04 2015,129.118604
26 04 2015,129.366352
27 04 2015,129.366352
28 04 2015,129.507315
29 04 2015,130.594327
30 04 2015,132.46407
01 05 2015,133.896347
02 05 2015,134.58369
03 05 2015,133.663643
04 05 2015,133.663643
05 05 2015,134.000698
06 05 2015,134.253889
07 05 2015,135.42904
08 05 2015,134.987894
09 05 2015,134.414019
10 05 2015,134.133097
11 05 2015,134.133097
12 05 2015,134.003059
13 05 2015,134.581653
14 05 2015,135.309795
15 05 2015,135.633322
16 05 2015,136.533583
17 05 2015,136.607955
18 05 2015,136.607955
19 05 2015,135.978105
20 05 2015,134.46803
21 05 2015,134.667798
22 05 2015,134.719161
23 05 2015,133.870817
24 05 2015,133.85636
25 05 2015,133.85636
26 05 2015,133.332492
27 05 2015,133.707887
28 05 2015,134.927121
29 05 2015,135.338613
30 05 2015,136.292804
31 05 2015,136.450067
01 06 2015,136.450067
02 06 2015,136.392078
03 06 2015,138.481456
04 06 2015,139.938211
05 06 2015,139.944764
06 06 2015,139.668787
07 06 2015,139.630904
08 06 2015,139.630904
09 06 2015,140.553869
10 06 2015,140.327351
11 06 2015,138.777676
12 06 2015,138.908459
13 06 2015,139.136544
14 06 2015,138.943943
15 06 2015,138.943943
16 06 2015,139.132086
17 06 2015,138.664163
18 06 2015,139.782913
19 06 2015,139.757922
20 06 2015,139.235072
21 06 2015,139.310008
22 06 2015,139.310008
23 06 2015,139.928776
24 06 2015,138.29413
25 06 2015,138.825909
26 06 2015,138.451263
27 06 2015,138.102086
28 06 2015,138.330542
29 06 2015,138.330542
30 06 2015,137.846614
01 07 2015,136.320872
02 07 2015,136.285858
03 07 2015,136.482815
04 07 2015,136.208325
05 07 2015,136.496752
06 07 2015,136.496752
07 07 2015,135.496069
08 07 2015,134.230285
09 07 2015,133.458858
10 07 2015,133.387201
11 07 2015,136.699272
12 07 2015,136.981945
13 07 2015,136.981945
14 07 2015,135.865543
15 07 2015,135.757516
16 07 2015,135.514645
17 07 2015,135.053109
18 07 2015,134.56689
19 07 2015,134.372648
20 07 2015,134.372648
21 07 2015,134.723441
22 07 2015,135.589554
23 07 2015,135.324081
24 07 2015,136.340305
