,EURUSD
27 01 2015,1.128315
28 01 2015,1.136885
29 01 2015,1.134235
30 01 2015,1.130915
31 01 2015,1.1293
01 02 2015,1.1287
02 02 2015,1.1287
03 02 2015,1.133225
04 02 2015,1.1456
05 02 2015,1.142285
06 02 2015,1.142385
07 02 2015,1.134494
08 02 2015,1.131395
09 02 2015,1.131395
10 02 2015,1.131701
11 02 2015,1.13185
12 02 2015,1.13043
13 02 2015,1.141555
14 02 2015,1.14104
15 02 2015,1.138097
16 02 2015,1.138602
17 02 2015,1.13882
18 02 2015,1.1391
19 02 2015,1.13485
20 02 2015,1.13915
21 02 2015,1.136
22 02 2015,1.137799
23 02 2015,1.137799
24 02 2015,1.134505
25 02 2015,1.13305
26 02 2015,1.136155
27 02 2015,1.12168
28 02 2015,1.119805
01 03 2015,1.119495
02 03 2015,1.119495
03 03 2015,1.119305
04 03 2015,1.120316
05 03 2015,1.1072
06 03 2015,1.100994
07 03 2015,1.085977
08 03 2015,1.084299
09 03 2015,1.084299
10 03 2015,1.085295
11 03 2015,1.071445
12 03 2015,1.05743
13 03 2015,1.05941
14 03 2015,1.05216
15 03 2015,1.049593
16 03 2015,1.049593
17 03 2015,1.05992
18 03 2015,1.0597
19 03 2015,1.0652
20 03 2015,1.06335
21 03 2015,1.08333
22 03 2015,1.082099
23 03 2015,1.082099
24 03 2015,1.09147
25 03 2015,1.09185
26 03 2015,1.0968
27 03 2015,1.0914
28 03 2015,1.09053
29 03 2015,1.088998
30 03 2015,1.088998
31 03 2015,1.082265
01 04 2015,1.07299
02 04 2015,1.07804
03 04 2015,1.08802
04 04 2015,1.097496
05 04 2015,1.0974
06 04 2015,1.0974
07 04 2015,1.098448
08 04 2015,1.084441
09 04 2015,1.08116
10 04 2015,1.066
11 04 2015,1.05887
12 04 2015,1.060299
13 04 2015,1.060901
14 04 2015,1.05688
15 04 2015,1.066975
16 04 2015,1.068495
17 04 2015,1.078615
18 04 2015,1.07962
19 04 2015,1.080596
20 04 2015,1.080596
21 04 2015,1.07336
22 04 2015,1.075194
23 04 2015,1.07372
24 04 2015,1.083635
25 04 2015,1.08545
26 04 2015,1.087341
27 04 2015,1.087341
28 04 2015,1.08805
29 04 2015,1.098165
30 04 2015,1.1163
01 05 2015,1.11946
02 05 2015,1.119255
03 05 2015,1.119695
04 05 2015,1.119695
05 05 2015,1.115
06 05 2015,1.11958
07 05 2015,1.134
08 05 2015,1.12665
09 05 2015,1.12314
10 05 2015,1.119595
11 05 2015,1.119595
12 05 2015,1.11652
13 05 2015,1.12222
14 05 2015,1.13605
15 05 2015,1.138045
16 05 2015,1.1439
17 05 2015,1.144839
18 05 2015,1.144839
19 05 2015,1.133765
20 05 2015,1.11405
21 05 2015,1.11085
22 05 2015,1.112995
23 05 2015,1.1014
24 05 2015,1.101109
25 05 2015,1.101109
26 05 2015,1.0975
27 05 2015,1.087449
28 05 2015,1.089695
29 05 2015,1.09365
30 05 2015,1.098949
31 05 2015,1.099119
01 06 2015,1.099119
02 06 2015,1.092955
03 06 2015,1.117529
04 06 2015,1.12486
05 06 2015,1.12475
06 06 2015,1.112199
07 06 2015,1.111401
08 06 2015,1.111401
09 06 2015,1.125705
10 06 2015,1.127825
11 06 2015,1.1313
12 06 2015,1.123655
13 06 2015,1.127625
14 06 2015,1.126101
15 06 2015,1.126101
16 06 2015,1.127
17 06 2015,1.123865
18 06 2015,1.125385
19 06 2015,1.136465
20 06 2015,1.1357
21 06 2015,1.135602
22 06 2015,1.135602
23 06 2015,1.134147
24 06 2015,1.11686
25 06 2015,1.1213
26 06 2015,1.1206
27 06 2015,1.114715
28 06 2015,1.116695
29 06 2015,1.116695
30 06 2015,1.1256
01 07 2015,1.11406
02 07 2015,1.10645
03 07 2015,1.1084
04 07 2015,1.10955
05 07 2015,1.111401
06 07 2015,1.111401
07 07 2015,1.106655
08 07 2015,1.09625
09 07 2015,1.104975
10 07 2015,1.09933
11 07 2015,1.11305
12 07 2015,1.115897
13 07 2015,1.115897
14 07 2015,1.1012
15 07 2015,1.1009
16 07 2015,1.09467
17 07 2015,1.08819
18 07 2015,1.084605
19 07 2015,1.082995
20 07 2015,1.082995
21 07 2015,1.084215
22 07 2015,1.0952
23 07 2015,1.09098
24 07 2015,1.101495
25 07 2015,1.097845
26 07 2015,1.0974
27 07 2015,1.0974
28 07 2015,1.1108
29 07 2015,1.10593
30 07 2015,1.104625
31 07 2015,1.091245
01 08 2015,1.100455
02 08 2015,1.098394
03 08 2015,1.098394
04 08 2015,1.095595
05 08 2015,1.091945
06 08 2015,1.09039
07 08 2015,1.092413
08 08 2015,1.09743
09 08 2015,1.0969
10 08 2015,1.0969
11 08 2015,1.102123
12 08 2015,1.103351
13 08 2015,1.117145
14 08 2015,1.11364
15 08 2015,1.111645
16 08 2015,1.110698
17 08 2015,1.110698
18 08 2015,1.1078
19 08 2015,1.10242
20 08 2015,1.11082
21 08 2015,1.11894
22 08 2015,1.1361
23 08 2015,1.138797
24 08 2015,1.138797
25 08 2015,1.1558
26 08 2015,1.14375
27 08 2015,1.13662
28 08 2015,1.12439
29 08 2015,1.12048
30 08 2015,1.118105
31 08 2015,1.118105
01 09 2015,1.122725
02 09 2015,1.131145
03 09 2015,1.12425
04 09 2015,1.113245
05 09 2015,1.11573
06 09 2015,1.114703
07 09 2015,1.114703
08 09 2015,1.11705
09 09 2015,1.11805
10 09 2015,1.1165
11 09 2015,1.1285
12 09 2015,1.1344
13 09 2015,1.13362
14 09 2015,1.13362
15 09 2015,1.13125
16 09 2015,1.12685
17 09 2015,1.13025
18 09 2015,1.1327
19 09 2015,1.13589
20 09 2015,1.130103
21 09 2015,1.130103
22 09 2015,1.11949
23 09 2015,1.1125
24 09 2015,1.119595
25 09 2015,1.12377
26 09 2015,1.117306
27 09 2015,1.119464
28 09 2015,1.119464
29 09 2015,1.12385
30 09 2015,1.1246
01 10 2015,1.117255
02 10 2015,1.11935
03 10 2015,1.122125
04 10 2015,1.121083
05 10 2015,1.121083
06 10 2015,1.11765
07 10 2015,1.12639
08 10 2015,1.12342
09 10 2015,1.12815
10 10 2015,1.13822
11 10 2015,1.135899
12 10 2015,1.135899
13 10 2015,1.1376
14 10 2015,1.13855
15 10 2015,1.1437
16 10 2015,1.14145
17 10 2015,1.13848
18 10 2015,1.134939
19 10 2015,1.134939
20 10 2015,1.1321
21 10 2015,1.13525
22 10 2015,1.13405
23 10 2015,1.11285
24 10 2015,1.10155
25 10 2015,1.101898
26 10 2015,1.101898
27 10 2015,1.1051
28 10 2015,1.10325
29 10 2015,1.10725
30 10 2015,1.0964
31 10 2015,1.10235
01 11 2015,1.1006
02 11 2015,1.1006
03 11 2015,1.1027
04 11 2015,1.09405
05 11 2015,1.08545
06 11 2015,1.0873
07 11 2015,1.07415
08 11 2015,1.073883
09 11 2015,1.073883
10 11 2015,1.0769
11 11 2015,1.06895
12 11 2015,1.07385
13 11 2015,1.077226
14 11 2015,1.0727
15 11 2015,1.077081
16 11 2015,1.077081
17 11 2015,1.071002
18 11 2015,1.0641
19 11 2015,1.06325
20 11 2015,1.07425
21 11 2015,1.0655
22 11 2015,1.064793
23 11 2015,1.064793
24 11 2015,1.06035
25 11 2015,1.0649
26 11 2015,1.06185
27 11 2015,1.06075
28 11 2015,1.05925
29 11 2015,1.059249
30 11 2015,1.059249
01 12 2015,1.0565
02 12 2015,1.061701
03 12 2015,1.057798
04 12 2015,1.0903
05 12 2015,1.08845
06 12 2015,1.087897
07 12 2015,1.087897
08 12 2015,1.08455
09 12 2015,1.0875
10 12 2015,1.09905
11 12 2015,1.0945
12 12 2015,1.099
13 12 2015,1.099475
14 12 2015,1.099475
15 12 2015,1.10335
16 12 2015,1.092001
17 12 2015,1.09385
18 12 2015,1.0807
19 12 2015,1.08455
20 12 2015,1.086785
21 12 2015,1.086785
22 12 2015,1.093249
23 12 2015,1.0971
24 12 2015,1.0881
25 12 2015,1.09605
26 12 2015,1.096407
27 12 2015,1.097701
28 12 2015,1.097701
29 12 2015,1.098352
30 12 2015,1.091798
31 12 2015,1.0917
01 01 2016,1.085841
02 01 2016,1.086301
03 01 2016,1.086101
04 01 2016,1.086101
05 01 2016,1.0795
06 01 2016,1.0741
07 01 2016,1.0762
08 01 2016,1.0855
09 01 2016,1.0897
10 01 2016,1.092502
11 01 2016,1.092502
12 01 2016,1.089
13 01 2016,1.08335
14 01 2016,1.0854
15 01 2016,1.0857
16 01 2016,1.095249
17 01 2016,1.091244
18 01 2016,1.091244
19 01 2016,1.08835
20 01 2016,1.09
21 01 2016,1.09075
22 01 2016,1.0827
23 01 2016,1.081449
24 01 2016,1.079809
25 01 2016,1.079809
26 01 2016,1.08275
27 01 2016,1.08435
28 01 2016,1.08715
29 01 2016,1.0947
30 01 2016,1.0831
31 01 2016,1.083107
01 02 2016,1.083107
02 02 2016,1.08895
03 02 2016,1.09065
04 02 2016,1.1056
05 02 2016,1.1199
06 02 2016,1.1131
07 02 2016,1.115797
08 02 2016,1.115797
09 02 2016,1.1176
10 02 2016,1.13105
11 02 2016,1.1225
12 02 2016,1.13725
13 02 2016,1.123066
14 02 2016,1.125505
15 02 2016,1.125505
16 02 2016,1.1154
17 02 2016,1.114051
18 02 2016,1.11385
19 02 2016,1.1091
20 02 2016,1.11255
21 02 2016,1.113109
22 02 2016,1.113109
23 02 2016,1.1022
24 02 2016,1.1017
25 02 2016,1.1023
26 02 2016,1.1032
27 02 2016,1.0935
28 02 2016,1.093022
29 02 2016,1.093022
01 03 2016,1.0863
02 03 2016,1.08435
03 03 2016,1.08395
04 03 2016,1.09545
05 03 2016,1.1025
06 03 2016,1.100691
07 03 2016,1.100691
08 03 2016,1.099399
09 03 2016,1.103199
10 03 2016,1.1022
11 03 2016,1.1165
12 03 2016,1.118706
13 03 2016,1.114715
14 03 2016,1.114715
15 03 2016,1.1103
16 03 2016,1.10965
17 03 2016,1.1067
18 03 2016,1.1329
19 03 2016,1.1271
20 03 2016,1.126995
21 03 2016,1.126995
22 03 2016,1.124
23 03 2016,1.1208
24 03 2016,1.1165
25 03 2016,1.1171
26 03 2016,1.116645
27 03 2016,1.116495
28 03 2016,1.116495
29 03 2016,1.119445
30 03 2016,1.12645
31 03 2016,1.13205
01 04 2016,1.1387
02 04 2016,1.13995
03 04 2016,1.13938
04 04 2016,1.13938
05 04 2016,1.1401
06 04 2016,1.1387
07 04 2016,1.14145
08 04 2016,1.1369
09 04 2016,1.14035
10 04 2016,1.139718
11 04 2016,1.139718
12 04 2016,1.1406
13 04 2016,1.1374
14 04 2016,1.12793
15 04 2016,1.12665
16 04 2016,1.129299
17 04 2016,1.12849
18 04 2016,1.12849
19 04 2016,1.13195
20 04 2016,1.138116
21 04 2016,1.1309
22 04 2016,1.12945
23 04 2016,1.1221
24 04 2016,1.122492
25 04 2016,1.122196
26 04 2016,1.127599
27 04 2016,1.1294
28 04 2016,1.1335
29 04 2016,1.1347
30 04 2016,1.1437
01 05 2016,1.144767
02 05 2016,1.144767
03 05 2016,1.152253
04 05 2016,1.15295
05 05 2016,1.149452
06 05 2016,1.14045
07 05 2016,1.140949
08 05 2016,1.1404
09 05 2016,1.1404
10 05 2016,1.1386
11 05 2016,1.137948
12 05 2016,1.143
13 05 2016,1.13775
14 05 2016,1.1304
15 05 2016,1.130748
16 05 2016,1.130748
17 05 2016,1.1323
18 05 2016,1.1324
19 05 2016,1.12855
20 05 2016,1.12035
21 05 2016,1.1223
22 05 2016,1.122309
23 05 2016,1.122309
24 05 2016,1.12255
