<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20100930,5569.30,5650.30,5539.10,5548.60,1012633500
20101001,5548.60,5615.10,5547.50,5592.90,823630600
20101004,5592.90,5601.20,5550.80,5556.00,604252000
20101005,5556.00,5646.10,5550.60,5635.80,830151700
20101006,5635.80,5695.50,5635.80,5681.40,756640300
20101007,5681.40,5707.30,5650.80,5662.10,947272500
20101008,5662.10,5663.70,5606.60,5657.60,1047049600
20101011,5657.60,5686.00,5655.70,5672.40,475637800
20101012,5672.40,5677.00,5597.50,5661.60,637397300
20101013,5661.60,5760.50,5661.60,5747.40,973403200
20101014,5747.40,5770.90,5712.90,5727.20,1130424900
20101015,5727.20,5743.90,5666.00,5703.40,996353300
20101018,5703.40,5748.80,5670.10,5742.50,610917500
20101019,5742.50,5761.90,5690.60,5703.90,777975700
20101020,5703.90,5730.00,5680.40,5728.90,671501700
20101021,5728.90,5786.70,5698.00,5757.90,1023807800
20101022,5757.90,5758.00,5724.30,5741.40,657950400
20101025,5741.40,5794.30,5741.40,5752.00,772475800
20101026,5752.00,5754.20,5677.20,5707.30,812461700
20101027,5707.30,5707.30,5630.90,5646.00,787759800
20101028,5646.00,5711.80,5646.00,5677.90,767340900
20101029,5677.90,5699.20,5647.00,5675.20,836504100
20101101,5675.20,5733.00,5667.40,5694.60,641818600
20101102,5694.60,5771.60,5690.40,5757.40,805488100
20101103,5757.40,5773.70,5730.50,5749.00,825699200
20101104,5749.00,5876.00,5749.00,5862.80,1079789800
20101105,5862.80,5899.40,5834.00,5875.40,1106801300
20101108,5875.40,5881.00,5841.30,5850.00,772608500
20101109,5850.00,5902.10,5847.40,5875.20,951025300
20101110,5875.20,5877.00,5796.20,5816.90,942150400
20101111,5816.90,5846.50,5792.60,5815.20,1091041600
20101112,5815.20,5831.80,5711.70,5796.90,986021400
20101115,5796.90,5832.90,5755.70,5820.40,620872800
20101116,5820.40,5820.40,5680.90,5681.90,871717100
20101117,5681.90,5704.40,5659.60,5692.60,761486000
20101118,5692.60,5783.00,5692.60,5768.70,729396100
20101119,5768.70,5774.10,5684.50,5732.80,732494000
20101122,5732.80,5783.10,5668.50,5680.80,774612600
20101123,5680.80,5681.10,5581.30,5581.30,1029608700
20101124,5581.30,5671.90,5573.30,5657.10,907509800
20101125,5657.10,5707.90,5654.70,5698.90,556473400
20101126,5698.90,5699.00,5599.30,5668.70,862384200
20101129,5668.70,5722.70,5551.00,5551.00,1016585900
20101130,5551.00,5597.00,5519.20,5528.30,1312214200
20101201,5528.30,5656.20,5528.30,5642.50,1142732300
20101202,5642.50,5770.90,5642.50,5767.60,1071115600
20101203,5767.60,5784.30,5720.20,5745.30,758341000
20101206,5745.30,5785.70,5728.50,5770.30,761310200
20101207,5770.30,5850.40,5769.70,5808.50,915796600
20101208,5808.50,5826.60,5774.30,5794.50,795733800
20101209,5794.50,5838.00,5794.50,5808.00,910975200
20101210,5808.00,5827.60,5794.50,5813.00,620763200
20101213,5813.00,5873.70,5812.90,5860.80,562916600
20101214,5860.80,5891.20,5847.10,5891.20,665299200
20101215,5891.20,5898.00,5858.10,5882.20,781046600
20101216,5882.20,5907.10,5862.90,5881.10,636310600
20101217,5881.10,5902.50,5857.30,5871.80,1431434200
20101220,5871.80,5913.80,5865.50,5891.60,536148400
20101221,5891.60,5953.90,5891.10,5951.80,541859600
